call_id,call_type,date,topic,topic_key,participants,sentiment_seed,text,voice_text,category,category_reason,sentiment,sentiment_score,frustration_peak,delta,sentiment_reason
EXT-011,external,2026-03-18,Product Feedback,feedback,Liam (account manager); Owen (customer),mixed,"--------------------
AM (Liam): Hi Owen, thanks for making time today. How are things going on your side?
Customer (Owen): My team keeps asking for a better mobile experience.
AM (Liam): Let me connect you with our product team for a feedback session.
Customer (Owen): That would help. Our leadership pays close attention to this.
AM (Liam): I'll flag the usability feedback; we're actively investing there.
Customer (Owen): Good conversation — send me that summary and we'll align internally.
AM (Liam): Thank you — I'll send a recap with clear next steps and owners by end of day.",My team keeps asking for a better mobile experience. That would help. Our leadership pays close attention to this. Good conversation — send me that summary and we'll align internally.,Product Feedback & Roadmap,Gathering and flagging product feedback regarding mobile experience.,neutral,-0.1,-0.5,0.7,Specific feature requests regarding mobile indicate persistent friction.
EXT-012,external,2026-02-20,Renewal Negotiation,renewal,Jonas (account manager); Aisha (customer),mixed,"--------------------
AM (Jonas): Hi Aisha, thanks for making time today. How are things going on your side?
Customer (Aisha): The renewal quote came in higher than we budgeted for.
AM (Jonas): I'd love to walk through the value you've realized this year.
Customer (Aisha): The team is generally positive, but there are gaps.
AM (Jonas): Let's look at your usage — you've grown into a higher tier organically.
Customer (Aisha): Good conversation — send me that summary and we'll align internally.
AM (Jonas): Thank you — I'll send a recap with clear next steps and owners by end of day.","The renewal quote came in higher than we budgeted for. The team is generally positive, but there are gaps. Good conversation — send me that summary and we'll align internally.",Renewal & Commercial,Reviewing renewal pricing objections and organic tier growth.,neutral,0.0,-0.4,0.9,Budget concerns remain but the call ends on a constructive note.
EXT-013,external,2026-06-10,Product Feedback,feedback,Owen (account manager); Devin (customer),mixed,"--------------------
AM (Owen): Hi Devin, thanks for making time today. How are things going on your side?
Customer (Devin): The reporting is powerful but the learning curve is steep.
AM (Owen): Let me connect you with our product team for a feedback session.
Customer (Devin): That would help. Our leadership pays close attention to this.
AM (Owen): That's really useful — I'll get this to product with your context.
Customer (Devin): I feel better about the direction. Let's check in again soon.
AM (Owen): Thank you — I'll send a recap with clear next steps and owners by end of day.",The reporting is powerful but the learning curve is steep. That would help. Our leadership pays close attention to this. I feel better about the direction. Let's check in again soon.,Product Feedback & Roadmap,Escalating learning curve feedback on reporting to product team.,neutral,0.0,-0.4,0.5,Steep learning curve concerns balanced by improved sentiment at the end.
EXT-014,external,2026-04-27,Churn Risk & Escalation,churn_risk,Priya (account manager); Owen (customer),neg,"--------------------
AM (Priya): Hi Owen, thanks for making time today. How are things going on your side?
Customer (Owen): The outages last quarter really shook our confidence.
AM (Priya): Let me get you a firm commitment on the compliance roadmap.
Customer (Owen): Numbers matter to us — show me the impact.
AM (Priya): I hear you, and I want to make this right — let's build a plan.
Customer (Owen): I appreciate the candor, but we'll need to see real change fast.
AM (Priya): Thank you — I'll send a recap with clear next steps and owners by end of day.","The outages last quarter really shook our confidence. Numbers matter to us — show me the impact. I appreciate the candor, but we'll need to see real change fast.",Reliability & Performance,Addressing customer's shaken confidence due to last quarter's outages.,negative,-0.7,-0.9,0.2,Trust is severely damaged by outages and requires immediate proof of impact.
EXT-015,external,2026-06-25,Adoption & Onboarding,adoption,Grace (account manager); Zara (customer),mixed,"--------------------
AM (Grace): Hi Zara, thanks for making time today. How are things going on your side?
Customer (Zara): Our new hires are struggling to get onboarded to the tool.
AM (Grace): We have an onboarding track that could help your new hires ramp faster.
Customer (Zara): The team is generally positive, but there are gaps.
AM (Grace): Let's look at the usage data and find where people drop off.
Customer (Zara): I feel better about the direction. Let's check in again soon.
AM (Grace): Thank you — I'll send a recap with clear next steps and owners by end of day.","Our new hires are struggling to get onboarded to the tool. The team is generally positive, but there are gaps. I feel better about the direction. Let's check in again soon.",Adoption & Enablement,Resolving onboarding struggles with specialized tracks and usage reviews.,neutral,0.1,-0.5,0.8,Onboarding issues contrast with a positive team outlook and improved direction.
EXT-016,external,2026-03-26,Product Feedback,feedback,Carlos (account manager); Grace (customer),mixed,"--------------------
AM (Carlos): Hi Grace, thanks for making time today. How are things going on your side?
Customer (Grace): We love the core product but the integrations feel limited.
AM (Carlos): Let me connect you with our product team for a feedback session.
Customer (Grace): We've had a mixed experience, to be candid.
AM (Carlos): I'll flag the usability feedback; we're actively investing there.
Customer (Grace): This was helpful. Let's keep the momentum going.
AM (Carlos): Thank you — I'll send a recap with clear next steps and owners by end of day.","We love the core product but the integrations feel limited. We've had a mixed experience, to be candid. This was helpful. Let's keep the momentum going.",API & Integrations,Collecting feedback about limited integration capabilities for product team.,neutral,0.0,-0.3,0.5,Core product love is dampened by integration limitations.
EXT-017,external,2026-04-23,Churn Risk & Escalation,churn_risk,Naomi (account manager); Raj (customer),neg,"--------------------
AM (Naomi): Hi Raj, thanks for making time today. How are things going on your side?
Customer (Raj): The outages last quarter really shook our confidence.
AM (Naomi): Let me get you a firm commitment on the compliance roadmap.
Customer (Raj): That would help. Our leadership pays close attention to this.
AM (Naomi): I'll escalate the reliability concerns to our VP directly.
Customer (Raj): Let's reconvene in two weeks — the clock is ticking for us.
AM (Naomi): Thank you — I'll send a recap with clear next steps and owners by end of day.",The outages last quarter really shook our confidence. That would help. Our leadership pays close attention to this. Let's reconvene in two weeks — the clock is ticking for us.,Reliability & Performance,Escalating reliability concerns and outages to leadership.,negative,-0.7,-0.9,0.2,Urgent timeline pressure due to past outages creates high tension.
EXT-018,external,2026-03-20,Churn Risk & Escalation,churn_risk,Hannah (account manager); Carlos (customer),neg,"--------------------
AM (Hannah): Hi Carlos, thanks for making time today. How are things going on your side?
Customer (Carlos): The outages last quarter really shook our confidence.
AM (Hannah): Let me get you a firm commitment on the compliance roadmap.
Customer (Carlos): Numbers matter to us — show me the impact.
AM (Hannah): I'll escalate the reliability concerns to our VP directly.
Customer (Carlos): Let's reconvene in two weeks — the clock is ticking for us.
AM (Hannah): Thank you — I'll send a recap with clear next steps and owners by end of day.",The outages last quarter really shook our confidence. Numbers matter to us — show me the impact. Let's reconvene in two weeks — the clock is ticking for us.,Reliability & Performance,Escalating platform outages and reliability concerns to VP.,negative,-0.8,-1.0,0.2,Severe lack of trust exacerbated by the need to prove impact under a ticking clo
EXT-019,external,2026-06-27,Product Feedback,feedback,Hannah (account manager); Owen (customer),mixed,"--------------------
AM (Hannah): Hi Owen, thanks for making time today. How are things going on your side?
Customer (Owen): We love the core product but the integrations feel limited.
AM (Hannah): Let me connect you with our product team for a feedback session.
Customer (Owen): That would help. Our leadership pays close attention to this.
AM (Hannah): That's really useful — I'll get this to product with your context.
Customer (Owen): Good conversation — send me that summary and we'll align internally.
AM (Hannah): Thank you — I'll send a recap with clear next steps and owners by end of day.",We love the core product but the integrations feel limited. That would help. Our leadership pays close attention to this. Good conversation — send me that summary and we'll align internally.,API & Integrations,Collecting feedback about limited integrations to pass to product.,neutral,0.0,-0.4,0.7,Integration issues vs. core product appreciation; call ends on a collaborative n
EXT-020,external,2026-05-17,Renewal Negotiation,renewal,Zara (account manager); Grace (customer),mixed,"--------------------
AM (Zara): Hi Grace, thanks for making time today. How are things going on your side?
Customer (Grace): We're up for renewal next month and leadership is scrutinizing every spend.
AM (Zara): I'd love to walk through the value you've realized this year.
Customer (Grace): We've had a mixed experience, to be candid.
AM (Zara): Let's look at your usage — you've grown into a higher tier organically.
Customer (Grace): This was helpful. Let's keep the momentum going.
AM (Zara): Thank you — I'll send a recap with clear next steps and owners by end of day.","We're up for renewal next month and leadership is scrutinizing every spend. We've had a mixed experience, to be candid. This was helpful. Let's keep the momentum going.",Renewal & Commercial,Handling commercial renewal under budget scrutiny and growth analysis.,neutral,0.0,-0.4,0.6,Renewal pressure acknowledged alongside gratitude for help.
EXT-021,external,2026-01-12,Product Feedback,feedback,Marcus (account manager); Tomás (customer),mixed,"--------------------
AM (Marcus): Hi Tomás, thanks for making time today. How are things going on your side?
Customer (Tomás): The reporting is powerful but the learning curve is steep.
AM (Marcus): Let me connect you with our product team for a feedback session.
Customer (Tomás): Numbers matter to us — show me the impact.
AM (Marcus): That's really useful — I'll get this to product with your context.
Customer (Tomás): I feel better about the direction. Let's check in again soon.
AM (Marcus): Thank you — I'll send a recap with clear next steps and owners by end of day.",The reporting is powerful but the learning curve is steep. Numbers matter to us — show me the impact. I feel better about the direction. Let's check in again soon.,Product Feedback & Roadmap,Passing reporting usability feedback directly to the product team.,neutral,0.1,-0.3,0.6,"Mixed feelings on product complexity, ending with a positive outlook."
EXT-022,external,2026-06-02,Product Feedback,feedback,Hannah (account manager); Naomi (customer),mixed,"--------------------
AM (Hannah): Hi Naomi, thanks for making time today. How are things going on your side?
Customer (Naomi): My team keeps asking for a better mobile experience.
AM (Hannah): I'll flag the usability feedback; we're actively investing there.
Customer (Naomi): That would help. Our leadership pays close attention to this.
AM (Hannah): That's really useful — I'll get this to product with your context.
Customer (Naomi): This was helpful. Let's keep the momentum going.
AM (Hannah): Thank you — I'll send a recap with clear next steps and owners by end of day.",My team keeps asking for a better mobile experience. That would help. Our leadership pays close attention to this. This was helpful. Let's keep the momentum going.,Product Feedback & Roadmap,Relaying mobile experience usability requests to product.,positive,0.3,-0.4,0.9,Initial request for better mobile experience transitioned into a successful reso
EXT-023,external,2026-04-24,Quarterly Business Review,qbr,Tomás (account manager); Raj (customer),pos,"--------------------
AM (Tomás): Hi Raj, thanks for making time today. How are things going on your side?
Customer (Raj): Let's use today to review how the last quarter went.
AM (Tomás): Here's how your outcomes compare to similar teams in your industry.
Customer (Raj): We've had a mixed experience, to be candid.
AM (Tomás): Let's set two or three concrete goals we can track together.
Customer (Raj): This is exactly the partnership we were hoping for. Excited to expand.
AM (Tomás): Thank you — I'll send a recap with clear next steps and owners by end of day.","Let's use today to review how the last quarter went. We've had a mixed experience, to be candid. This is exactly the partnership we were hoping for. Excited to expand.",Data & Reporting,Reviewing previous quarter metrics and setting concrete goals.,positive,0.7,-0.3,1.1,Previous quarter mixed experiences were redeemed by a successful partnership out
EXT-024,external,2026-05-02,Quarterly Business Review,qbr,Sofia (account manager); Yuki (customer),pos,"--------------------
AM (Sofia): Hi Yuki, thanks for making time today. How are things going on your side?
Customer (Yuki): We want to align on goals and success metrics for next quarter.
AM (Sofia): Here's how your outcomes compare to similar teams in your industry.
Customer (Yuki): Numbers matter to us — show me the impact.
AM (Sofia): Let's set two or three concrete goals we can track together.
Customer (Yuki): Love it. Let's get the paperwork moving.
AM (Sofia): Thank you — I'll send a recap with clear next steps and owners by end of day.",We want to align on goals and success metrics for next quarter. Numbers matter to us — show me the impact. Love it. Let's get the paperwork moving.,Data & Reporting,"Establishing and aligning on goals, metrics, and outcomes.",positive,0.7,-0.2,0.9,Strong alignment on goals and excitement to proceed.
EXT-025,external,2026-04-30,Product Feedback,feedback,Raj (account manager); Fatima (customer),mixed,"--------------------
AM (Raj): Hi Fatima, thanks for making time today. How are things going on your side?
Customer (Fatima): We love the core product but the integrations feel limited.
AM (Raj): I'll flag the usability feedback; we're actively investing there.
Customer (Fatima): The team is generally positive, but there are gaps.
AM (Raj): That's really useful — I'll get this to product with your context.
Customer (Fatima): I feel better about the direction. Let's check in again soon.
AM (Raj): Thank you — I'll send a recap with clear next steps and owners by end of day.","We love the core product but the integrations feel limited. The team is generally positive, but there are gaps. I feel better about the direction. Let's check in again soon.",API & Integrations,Relaying feedback about integration limits to the product team.,neutral,0.1,-0.4,0.7,Integration frustration balanced by a general belief in the product's direction.
EXT-026,external,2026-05-10,Product Feedback,feedback,Tomás (account manager); Aisha (customer),mixed,"--------------------
AM (Tomás): Hi Aisha, thanks for making time today. How are things going on your side?
Customer (Aisha): My team keeps asking for a better mobile experience.
AM (Tomás): That's really useful — I'll get this to product with your context.
Customer (Aisha): The team is generally positive, but there are gaps.
AM (Tomás): I'll flag the usability feedback; we're actively investing there.
Customer (Aisha): Good conversation — send me that summary and we'll align internally.
AM (Tomás): Thank you — I'll send a recap with clear next steps and owners by end of day.","My team keeps asking for a better mobile experience. The team is generally positive, but there are gaps. Good conversation — send me that summary and we'll align internally.",Product Feedback & Roadmap,Flagging customer requests for mobile usability improvements to product.,neutral,0.2,-0.4,0.8,Mobile experience requests vs. a generally positive team sentiment.
EXT-027,external,2026-03-28,Expansion & Upsell,expansion,Mei (account manager); Elena (customer),pos,"--------------------
AM (Mei): Hi Elena, thanks for making time today. How are things going on your side?
Customer (Elena): We're scaling headcount and will need a lot more seats next quarter.
AM (Mei): That's fantastic — let's scope a rollout plan for the second unit.
Customer (Elena): We've had a mixed experience, to be candid.
AM (Mei): Let me set up a demo of the analytics module for your team.
Customer (Elena): Love it. Let's get the paperwork moving.
AM (Mei): Thank you — I'll send a recap with clear next steps and owners by end of day.","We're scaling headcount and will need a lot more seats next quarter. We've had a mixed experience, to be candid. Love it. Let's get the paperwork moving.",Renewal & Commercial,Scaling license seats and scoping expansion expansion paperwork.,positive,0.5,-0.2,0.9,Growth trajectory and enthusiasm for expansion overshadow previous mixed experie
EXT-028,external,2026-03-01,Product Feedback,feedback,Elena (account manager); Carlos (customer),mixed,"--------------------
AM (Elena): Hi Carlos, thanks for making time today. How are things going on your side?
Customer (Carlos): The reporting is powerful but the learning curve is steep.
AM (Elena): I'll flag the usability feedback; we're actively investing there.
Customer (Carlos): That would help. Our leadership pays close attention to this.
AM (Elena): Let me connect you with our product team for a feedback session.
Customer (Carlos): This was helpful. Let's keep the momentum going.
AM (Elena): Thank you — I'll send a recap with clear next steps and owners by end of day.",The reporting is powerful but the learning curve is steep. That would help. Our leadership pays close attention to this. This was helpful. Let's keep the momentum going.,Product Feedback & Roadmap,Logging feedback on reporting learning curve for product team.,neutral,0.1,-0.4,0.7,Product learning curve challenges mitigated by a productive conclusion.
EXT-029,external,2026-04-23,Quarterly Business Review,qbr,Naomi (account manager); Jonas (customer),pos,"--------------------
AM (Naomi): Hi Jonas, thanks for making time today. How are things going on your side?
Customer (Jonas): We want to align on goals and success metrics for next quarter.
AM (Naomi): I've prepared a scorecard of your key metrics and wins.
Customer (Jonas): That would help. Our leadership pays close attention to this.
AM (Naomi): Let's set two or three concrete goals we can track together.
Customer (Jonas): Great session — my team is going to be thrilled with this.
AM (Naomi): Thank you — I'll send a recap with clear next steps and owners by end of day.",We want to align on goals and success metrics for next quarter. That would help. Our leadership pays close attention to this. Great session — my team is going to be thrilled with this.,Data & Reporting,Reviewing scorecard wins and tracking success goals.,positive,0.7,-0.2,0.9,Strong focus on alignment led to a very successful session.
EXT-030,external,2026-03-23,Churn Risk & Escalation,churn_risk,Naomi (account manager); Carlos (customer),neg,"--------------------
AM (Naomi): Hi Carlos, thanks for making time today. How are things going on your side?
Customer (Carlos): The outages last quarter really shook our confidence.
AM (Naomi): Let me get you a firm commitment on the compliance roadmap.
Customer (Carlos): We've had a mixed experience, to be candid.
AM (Naomi): I hear you, and I want to make this right — let's build a plan.
Customer (Carlos): Let's reconvene in two weeks — the clock is ticking for us.
AM (Naomi): Thank you — I'll send a recap with clear next steps and owners by end of day.","The outages last quarter really shook our confidence. We've had a mixed experience, to be candid. Let's reconvene in two weeks — the clock is ticking for us.",Reliability & Performance,Managing severe outage issues and customer confidence plan.,negative,-0.6,-0.9,0.3,Past outages and lack of trust drive a high-pressure deadline.
EXT-031,external,2026-04-27,Product Feedback,feedback,Fatima (account manager); Priya (customer),mixed,"--------------------
AM (Fatima): Hi Priya, thanks for making time today. How are things going on your side?
Customer (Priya): We love the core product but the integrations feel limited.
AM (Fatima): I'll flag the usability feedback; we're actively investing there.
Customer (Priya): We've had a mixed experience, to be candid.
AM (Fatima): Let me connect you with our product team for a feedback session.
Customer (Priya): Good conversation — send me that summary and we'll align internally.
AM (Fatima): Thank you — I'll send a recap with clear next steps and owners by end of day.","We love the core product but the integrations feel limited. We've had a mixed experience, to be candid. Good conversation — send me that summary and we'll align internally.",API & Integrations,Collecting user feedback regarding limited core integrations.,neutral,-0.1,-0.4,0.5,Integration limitations persist despite a good wrap-up.
EXT-032,external,2026-02-07,Renewal Negotiation,renewal,Zara (account manager); Mei (customer),mixed,"--------------------
AM (Zara): Hi Mei, thanks for making time today. How are things going on your side?
Customer (Mei): We're up for renewal next month and leadership is scrutinizing every spend.
AM (Zara): Let's look at your usage — you've grown into a higher tier organically.
Customer (Mei): Numbers matter to us — show me the impact.
AM (Zara): I'd love to walk through the value you've realized this year.
Customer (Mei): This was helpful. Let's keep the momentum going.
AM (Zara): Thank you — I'll send a recap with clear next steps and owners by end of day.",We're up for renewal next month and leadership is scrutinizing every spend. Numbers matter to us — show me the impact. This was helpful. Let's keep the momentum going.,Renewal & Commercial,Demonstrating ROI and justifying spend for upcoming renewal.,neutral,0.0,-0.4,0.6,Renewal pressure tempered by satisfaction with the current session.
EXT-033,external,2026-05-04,Adoption & Onboarding,adoption,Raj (account manager); Marcus (customer),mixed,"--------------------
AM (Raj): Hi Marcus, thanks for making time today. How are things going on your side?
Customer (Marcus): Honestly, adoption has been slower than we hoped internally.
AM (Raj): I can run a tailored enablement session for your team.
Customer (Marcus): Numbers matter to us — show me the impact.
AM (Raj): We have an onboarding track that could help your new hires ramp faster.
Customer (Marcus): Good conversation — send me that summary and we'll align internally.
AM (Raj): Thank you — I'll send a recap with clear next steps and owners by end of day.","Honestly, adoption has been slower than we hoped internally. Numbers matter to us — show me the impact. Good conversation — send me that summary and we'll align internally.",Adoption & Enablement,Addressing slow internal tool adoption with specialized training.,neutral,-0.2,-0.5,0.6,Adoption issues remain a primary concern.
INT-001,internal,2026-04-02,Cross-Team Escalation,escalation,Naomi (lead); Aisha (eng); Carlos (PM),neg,"--------------------
Lead (Naomi): Support is escalating a spike in billing complaints to us.
Eng (Aisha): We're seeing the billing duplicate-charge bug in the logs too.
PM (Carlos): From the product side, customers are definitely feeling this.
Eng (Aisha): Reliability has to be our top priority if renewals are on the line.
Lead (Naomi): We're accumulating risk here. Leadership needs to hear it.
PM (Carlos): I'll document the decisions and owners and share the notes.","Support is escalating a spike in billing complaints to us. We're seeing the billing duplicate-charge bug in the logs too. From the product side, customers are definitely feeling this. Reliability has to be our top priority if renewals are on the line. We're accumulating risk here. Leadership needs to hear it. I'll document the decisions and owners and share the notes.",Billing & Pricing,Internal alignment on a billing duplicate-charge bug.,negative,-0.6,-0.7,0.1,Escalating billing bugs and reliability risks create significant internal alarm.
INT-002,internal,2026-03-04,Sprint Planning,sprint,Elena (lead); Marcus (eng); Priya (PM),mixed,"--------------------
Lead (Elena): Product wants the analytics module in the next two sprints.
Eng (Marcus): Bulk edit is bigger than it looks; the data model needs work.
PM (Priya): We need to weigh this against what we promised the field.
Eng (Marcus): We can commit to a beta if we cut scope on the export piece.
Lead (Elena): Good discussion. Let's lock the scope and revisit Friday.
PM (Priya): I'll document the decisions and owners and share the notes.",Product wants the analytics module in the next two sprints. Bulk edit is bigger than it looks; the data model needs work. We need to weigh this against what we promised the field. We can commit to a beta if we cut scope on the export piece. Good discussion. Let's lock the scope and revisit Friday. I'll document the decisions and owners and share the notes.,Product Feedback & Roadmap,Sizing and scoping analytics and bulk edit roadmaps.,neutral,0.1,-0.2,0.4,Product prioritization trade-offs are difficult but a constructive resolution is
INT-003,internal,2026-02-07,Sprint Planning,sprint,Fatima (lead); Devin (eng); Jonas (PM),mixed,"--------------------
Lead (Fatima): We need to size the SSO reliability work before we commit.
Eng (Devin): Let's carve SSO into a spike plus an implementation ticket.
PM (Jonas): We need to weigh this against what we promised the field.
Eng (Devin): We can commit to a beta if we cut scope on the export piece.
Lead (Fatima): Let's commit to what's realistic and not overpromise.
PM (Jonas): I'll document the decisions and owners and share the notes.",We need to size the SSO reliability work before we commit. Let's carve SSO into a spike plus an implementation ticket. We need to weigh this against what we promised the field. We can commit to a beta if we cut scope on the export piece. Let's commit to what's realistic and not overpromise. I'll document the decisions and owners and share the notes.,Authentication & Access,Sizing SSO reliability work and mapping implementation tickets.,neutral,0.0,-0.3,0.5,Cautious approach to reliability work while trying to maintain realistic deliver
